ID,Latitude,Longitude,Nama_warung,Alamat,Halal,Area_merokok,Harga,Tempat_parkir,Masakan,Makanan,Jenis_warung,Makan_ditempat,Rating,Review,Gambar,kriteria
1,-7.768875,110.3177075,Warung Bakso Babi 08,"Jl. Krandon, Area Sawah, Sidomoyo, Kec. Godean, Kabupaten Sleman",non_halal,Ada,Murah,off_street_parking,Indonesia,"Sate,Pork,Bakso",Quick Bites,Dine-in/Takeaway,4.5,52,AF1QipNaby7OGc0DBcboM9zR8cMXbZ3KHGIKA5JculpO=w408-h305-k-no,non_halal Ada Murah off_street_parking
2,-7.765697099999999,110.34430359999999,Rumah Makan 88 / panpan 88,"Jl. Kabupaten KM 1,5 No.98, Nusupan, Trihanggo, Kec. Gamping, Kabupaten Sleman",non_halal,Ada,Mahal,on_street_parking,"Chinese,Indonesia,Fusion",Pork,Quick Bites,Dine-in/Takeaway,4.6,671,AF1QipMuA78dB9x1zyraLsyshQ4_2rk1j95XNJYgPuWZ=s900-k-no,non_halal Ada Mahal on_street_parking
3,-7.755880499999999,110.38378200000001,Kafe Djawa a.k.a Angkringan Enaknan,"Jalan Kaliurang Km.5,8, Gang Pandega Satya No.10, Caturtunggal, Depok, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Kafe","Ayam,Daging,Mie,Kopi,Minuman","Kafe,Restoran kasual,Angkringan",Dine-in/Takeaway,4.6,531,AF1QipNmmTYM9wnyUbz5QEUWhJuGFtRvO3u1dewnSmrX=s483-k-no,halal Ada Murah on_street_parking
4,-7.784784299999999,110.3705027,Kali Code Angkringan,"Jl. Prau, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Yogyakarta","Sate,Gorengan","Quick Bites,Street Food,Angkringan",Dine-in/Takeaway,4.3,969,AF1QipMMruZhhWtoDBSFiYIlk9M72aPM8h4VhYIdDUUs=w203-h360-k-no,halal Ada Murah on_street_parking
5,-7.7553496,110.37695649999999,Angkringan Kebun,"Jl. Pandega Marta Jl. Pogung Lor No.316, RT.03/RW.46, Pogung Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Yogyakarta","Sate,Nasi Goreng,Pecel,Mie,Minuman,Gorengan","Quick Bites,Angkringan",Dine-in/Takeaway,4.9,143,AF1QipOu__o7a6WNz17M6uGOBkaPNpFS91y8ZfA5oMwf=s483-k-no,halal Ada Murah on_street_parking
6,-7.761242,110.3805386,Angkringan Mas PENO,"Jl. Kaliurang KM.5 No.16, Karang Wuni, Caturtunggal, Kec. Depok, Kabupaten Sleman",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Yogyakarta","Ayam,Sate,Gorengan","Quick Bites,Street Food,Angkringan",Dine-in/Takeaway,4.6,116,AF1QipMj1Rwv3X1uVPEs-MgCdEMp5XG4fv0jz_2VWi-c=w203-h270-k-no,halal Ada Murah on_street_parking
7,-7.783262599999999,110.3671406,Angkringan Kopi Joss Tugu Mbak lina,"Jl. P. Mangkubumi No.62, Gowongan, Kec. Jetis, Kota Yogyakarta",halal,Ada,Murah,on_street_parking,"Jawa,Indonesia,Yogyakarta","Sate,Kopi,Gorengan","Quick Bites,Street Food,Angkringan",Dine-in/Takeaway,4.3,128,AF1QipMifx-cY0K1wNafKYvEMa48IaJrtcmcUSvCc4Mv=s812-k-no,halal Ada Murah on_street_parking
8,-7.782740400000001,110.4010481,Shaburi & Kintan Buffet - Plaza Ambarrukmo,"Plaza Ambarrukmo, Lantai 3, Jl. Laksda Adisucipto No. 80, Yogyakarta, Indonesia",halal,Tidak,Menengah,off_street_parking,"Jepang,Grill House",Daging,"Prasmanan,Restoran kasual",Dine-in/Takeaway,4.6,924,AF1QipOPuAqnG-FonxQqApf8R4h9JZRpmzk0FTq8DqBb=s785-k-no,halal Tidak Menengah off_street_parking
9,-7.7820963,110.40132820000001,"Pepper Lunch - Plaza Ambarukmo
","Plaza Ambarukmo , Lantai 3, JL. Laksda Adisucipto, Yogyakarta, Indonesia",halal,Tidak,Mahal,off_street_parking,Jepang,Daging,Restoran kasual,Dine-in/Takeaway,4.4,441,AF1QipND3MlxZh4IP-0dKFAcUd4y3_MPmYQmn-AYNOdI=s644-k-no,halal Tidak Mahal off_street_parking
10,-7.761547599999999,110.3804487,Yoshinoya - Kaliurang,"Jl. Kaliurang KM. 5, Yogyakarta, Indonesia",halal,Tidak,Mahal,off_street_parking,Jepang,Daging,Restoran kasual,Dine-in/Takeaway,4.5,1755,AF1QipOor8EqeSEi8_NSWCMqAZ3aH7KFUf2LrwgCNpkt=s644-k-no,halal Tidak Mahal off_street_parking
11,-7.7597826,110.3989905,Burger King - Hartono Mall,"Hartono Mall, Lantai Ground, Jl. Kaliwaru No.17, Yogyakarta, Indonesia",halal,Tidak,Menengah,off_street_parking,"Western,Fusion","Ayam,Burger",Fast Food,Dine-in/Takeaway,4.4,904,"AF1QipOL0Fk-YcE_tg1ZQc_5yj9afwn-HCvTzorzQ4Ue=s563-k-no
",halal Tidak Menengah off_street_parking
12,-7.7690004,110.4098668,Se'i Sapi Kana - Seturan,"Jl. Seturan Raya, Yogyakarta, Indonesia",halal,Tidak,Menengah,off_street_parking,"Indonesia,NTT","Ayam,Daging",Quick Bites,Dine-in/Takeaway,4.4,2126,AF1QipNBJ1VN7IpTer76n5jJvSqZUtOnoiWasgRq4m76=s483-k-no,halal Tidak Menengah off_street_parking
13,-7.759059700000001,110.3988332,Pempek Ny. Kamto Gejayan,"Jl. Affandi Soropadan No.31, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman",halal,Tidak,Menengah,off_street_parking,"Palembang,Indonesia",Pempek,"Restoran kasual,Quick Bites",Dine-in/Takeaway,4.6,1283,AF1QipOOBafvY-AgdhhH55M_zYAaDZe5eo7h9QR9QEM=s846-k-no,halal Tidak Menengah off_street_parking
14,-7.730019,110.405267,Tengkleng Gajah,"Jl. Kaliurang KM 9.3 Bulurejo, Yogyakarta, Indonesia",halal,Ada,Menengah,off_street_parking,"Jawa,Indonesia","Sate,Daging","Restoran kasual,Restoran Keluarga",Dine-in/Takeaway,4.5,15680,AF1QipPYqoeOtcfN2MsVKF5X0pk5Pp1mvZ2_MuXqWF2F=s644-k-no,halal Ada Menengah off_street_parking
15,-7.8231946,110.3677672,Blengerr Chinese Food Super - Mergangsan,"Jl. Parangtritis No. 128, Yogyakarta, Indonesia",halal,Ada,Menengah,on_street_parking,Chinese,"Ayam,Seafood,Nasi Goreng","Restoran kasual,Quick Bites",Dine-in/Takeaway,4.0,1046,AF1QipOMP-YnoRsnEs3O72bqx3eB_r4zpCJr-S46naI=s455-k-no,halal Ada Menengah on_street_parking
16,-7.801433,110.3736419,Ayam Goreng Bu Tini - Pakualaman,"Jl. Sultan Agung No. 17 Gunung Ketur PA, Yogyakarta, Indonesia",halal,Ada,Menengah,off_street_parking,"Jawa,Indonesia",Ayam,"Restoran kasual,Quick Bites,Restoran Keluarga",Dine-in/Takeaway,4.5,2894,AF1QipNXULyu01-jQ0wLpri9LWYjZVp9hGK1ScqZ5YsT=s563-k-no,halal Ada Menengah off_street_parking
17,-7.783026700000001,110.3498125,Gubug Makan Mang Engking Soragan,"Jl. Soragan No.13, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",halal,Ada,Mahal,on_street_parking,"Jawa,Indonesia,Fusion","Ayam,Ikan,Seafood","Restoran kasual,Restoran Keluarga",Dine-in/Takeaway,4.5,6195,AF1QipNTlvP5GFlFeRaWB7sPMVl_lN2ZaRwQKdGv5Bxq=s846-k-no,halal Ada Mahal on_street_parking
18,-7.8397489,110.3890247,RM Pondok Ndeso,"Jl. Raya Imogiri Timur, Yogyakarta, Indonesia",halal,Ada,Menengah,off_street_parking,"Jawa,Indonesia","Ayam,Ikan,Seafood","Restoran kasual,Restoran Keluarga",Dine-in/Takeaway,4.3,2138,AF1QipPUTxdLzWZLoeCLIiEvPLv1IDPD4vK_NxtndYjd=s644-k-no,halal Ada Menengah off_street_parking
19,-7.7841352,110.3755456,Pan Pan Rice Bowl,"Jl. Johar Nurhadi No. 5, Yogyakarta, Indonesia",halal,Tidak,Murah,on_street_parking,Jepang,"Ayam,Daging","Restoran kasual,Quick Bites",Dine-in/Takeaway,4.3,85,AF1QipMYChiQpxbnJo2cR0CQxTHdyX5sxFWLBOD0XPhP=s846-k-no,halal Tidak Murah on_street_parking
20,-7.818566000000001,110.36452759999999,Mediterranea Restaurant,"Jl. Tirtodipuran No. 24 A Mantrijeron, Yogyakarta , Indonesia",non_halal,Ada,Mahal,off_street_parking,"Eropa,Mediterania,Perancis,Western,Italia,Desserts,Fusion","Daging,Burger,Pizza,Kopi,Minuman","Restoran kasual,Diner,Wine Bar",Dine-in/Takeaway,4.7,5106,https://lh3.ggpht.com/p/AF1QipN2MevJ2aAr369_djSLMlvEw-o_jIb7GeP3LBvE=s1536,non_halal Ada Mahal off_street_parking
